ID	variant	HighScore	NoOfUsersWithHighScore	NoOfReadsinPuzzle	NoOfUsableReadsinPuzzle	UserPercentDifferntToBWA	MeanPercentOfReadsDifferent	NoOfReadsinPuzzleCovALT	UserPercentDifferntToBWACovALT	MeanPercentOfReadsDifferentCovALT
4170	snp	1698	7	20	20	100	5.0	19	100	5.0
4171	snp	756	4	14	14	100	35.0	13	100	38.0
4172	snp	1438	1	20	20	100	50.0	19	100	52.0
4173	snp	1599	5	20	20	100	5.0	18	100	5.0
4174	snp	1477	4	20	20	100	5.0	16	100	6.0
4175	snp	284	2	7	7	100	100.0	0	0	0
4176	snp	976	1	20	20	100	25.0	8	0	0
4177	snp	1463	14	20	20	0	0	18	0	0
4178	snp	1716	5	20	20	100	70.0	17	100	64.0
4179	snp	1085	1	16	16	100	81.0	8	100	87.0
4180	snp	1444	4	20	20	100	35.0	11	100	9.0
4181	snp	1853	2	20	20	100	5.0	15	0	0
4182	snp	1886	3	20	20	100	10.0	18	100	11.0
4183	snp	1630	11	20	20	0	0	17	0	0
4184	snp	120	3	3	3	100	100.0	0	0	0
4185	indel	571	2	20	20	100	55.0	7	0	0
4186	indel	2032	2	20	20	100	80.0	19	100	78.0
4187	indel	1840	13	20	20	100	90.0	14	100	85.0
4188	indel	515	7	10	10	100	100.0	1	100	100.0
4189	snp	863	4	20	20	100	5.0	17	0	0
4190	snp	901	12	12	12	100	8.0	8	100	12.0
4191	snp	1047	3	20	20	100	50.0	10	100	10.0
4192	snp	1843	7	20	20	0	0	16	0	0
4193	snp	1556	5	20	20	0	0	18	0	0
4194	snp	418	2	11	11	100	81.0	0	0	0
4195	snp	1021	2	20	18	100	13.5	15	0	0
4196	snp	1525	8	20	20	100	5.0	18	0	0
4197	snp	861	1	16	16	100	50.0	10	100	40.0
4198	snp	947	1	20	20	100	25.0	11	100	9.0
4199	snp	1932	7	20	20	100	5.0	15	100	6.0
4200	snp	1499	1	20	20	100	5.0	18	100	5.0
4201	snp	257	1	6	6	100	50.0	0	0	0
4202	snp	777	1	20	16	0	0	15	0	0
4203	snp	384	1	9	9	100	44.0	2	0	0
4204	snp	316	4	20	18	25	5.0	13	0	0
4205	snp	804	1	11	11	100	18.0	8	0	0
4206	snp	809	1	20	20	100	35.0	11	100	9.0
4207	snp	1447	8	20	20	100	5.0	17	100	5.0
4208	snp	136	2	4	4	100	100.0	0	0	0
4209	snp	1187	1	20	20	100	25.0	9	0	0
4210	snp	1761	8	20	20	100	85.0	19	100	84.0
4211	snp	1765	2	20	20	100	100.0	17	100	100.0
4212	snp	1744	6	20	20	100	100.0	17	100	100.0
4213	snp	787	1	14	14	100	100.0	4	100	100.0
4214	snp	1201	2	20	20	100	50.0	17	100	52.0
4215	snp	544	7	9	9	100	11.0	7	0	0
4216	snp	1108	1	20	20	100	100.0	3	100	100.0
4217	snp	1381	1	20	20	100	30.0	14	100	21.0
4218	snp	1543	1	20	20	100	95.0	14	100	92.0
4219	snp	1656	6	20	20	100	100.0	16	100	100.0
4220	snp	1640	9	20	20	100	100.0	16	100	100.0
4221	snp	1653	15	20	20	100	100.0	16	100	100.0
4222	snp	1672	9	20	20	100	100.0	10	100	100.0
4223	snp	1037	1	20	20	100	100.0	5	100	100.0
4224	snp	511	1	12	12	100	100.0	0	0	0
4225	snp	368	5	13	7	0	0	7	0	0
4226	indel	1723	1	20	20	100	80.0	15	100	80.0
4227	indel	924	11	20	20	90	33.0	16	90	35.1
4228	indel	90	6	3	3	0	0	0	0	0
4229	snp	611	8	20	12	0	0	8	0	0
4230	snp	587	11	8	8	0	0	6	0	0
4231	snp	379	7	19	13	100	7.0	8	0	0
4232	snp	1275	1	20	20	100	45.0	10	100	20.0
4233	snp	1500	4	20	20	100	15.0	12	100	8.0
4234	snp	1564	2	20	20	100	40.0	16	100	50.0
4235	snp	1764	8	20	20	0	0	16	0	0
4236	snp	1270	2	20	20	100	55.0	9	100	22.0
4237	snp	297	1	8	8	100	100.0	0	0	0
4238	snp	1326	1	20	20	100	5.0	11	0	0
4239	snp	1900	10	20	20	100	5.0	18	100	5.0
4240	snp	1839	9	20	20	100	10.0	17	100	11.0
4241	snp	1868	5	20	20	100	5.0	16	100	6.0
4242	snp	943	3	17	17	100	23.0	9	0	0
4243	snp	623	3	20	18	100	16.0	12	0	0
4244	snp	912	1	15	15	100	53.0	8	100	12.0
4245	snp	181	10	13	13	100	7.0	9	0	0
4246	snp	307	3	16	16	100	6.0	11	0	0
4247	snp	485	1	20	18	100	27.0	13	100	7.0
4248	snp	742	14	12	12	0	0	11	0	0
4249	indel	476	2	17	15	100	33.0	11	100	27.0
4250	snp	881	1	20	16	100	31.0	15	100	33.0
4251	snp	963	5	14	14	100	7.0	10	100	10.0
4252	indel	151	6	20	20	100	15.0	16	100	6.0
4253	indel	687	15	12	12	0	0	12	0	0
4254	snp	741	2	20	18	100	61.0	17	100	58.0
4255	snp	551	3	11	11	0	0	9	0	0
4256	snp	279	1	20	18	100	16.0	12	0	0
4257	snp	124	1	5	3	100	66.0	0	0	0
4258	snp	287	3	16	14	100	7.0	11	0	0
4259	snp	470	2	20	18	100	5.0	15	0	0
4260	snp	760	8	8	8	0	0	7	0	0
4261	snp	430	2	14	12	100	50.0	10	100	50.0
4262	snp	395	1	20	20	100	5.0	8	0	0
4263	snp	576	10	12	12	0	0	11	0	0
4264	indel	449	1	20	20	100	25.0	16	100	12.0
4265	indel	796	6	13	13	100	29.166666666666668	6	33	33.0
4266	snp	231	14	10	10	100	10.0	9	100	11.0
4267	snp	934	1	20	20	100	100.0	0	0	0
4268	snp	1179	7	20	20	100	5.0	5	0	0
4269	snp	1634	3	20	20	100	10.0	12	100	8.0
4270	snp	1713	5	20	20	100	25.0	20	100	25.0
4271	snp	1726	4	20	20	100	10.0	15	100	13.0
4272	snp	1709	4	20	20	100	5.0	13	100	7.0
4273	snp	1656	10	20	20	100	10.0	15	100	13.0
4274	snp	764	1	20	20	100	45.0	3	100	66.0
4275	snp	209	1	8	8	100	100.0	0	0	0
4276	snp	749	1	20	20	100	25.0	4	0	0
4277	snp	1218	9	20	20	100	51.111111111111114	12	100	34.77777777777778
4278	snp	1258	3	20	16	0	0	14	0	0
4279	snp	465	1	12	12	100	100.0	0	0	0
4280	snp	793	2	20	20	100	35.0	7	0	0
4281	snp	1146	2	18	16	100	6.0	16	100	6.0
4282	snp	571	1	20	20	100	15.0	11	0	0
4283	snp	1887	9	20	20	100	10.0	18	100	11.0
4284	snp	1172	3	15	13	100	30.0	11	100	18.0
4285	snp	524	15	12	10	0	0	9	0	0
4286	snp	1141	1	20	18	100	38.0	8	0	0
4287	snp	1838	2	20	20	100	5.0	14	0	0
4288	snp	1932	13	20	20	0	0	14	0	0
4289	snp	1406	9	20	20	100	5.0	12	100	8.0
4290	snp	176	2	5	5	100	100.0	0	0	0
4291	snp	825	2	20	20	100	45.0	10	0	0
4292	snp	1893	5	20	20	100	5.0	16	100	6.0
4293	snp	1007	1	18	18	100	44.0	5	100	40.0
4294	snp	845	5	14	12	100	16.0	10	100	10.0
4295	snp	1057	2	20	20	100	25.0	15	0	0
4296	snp	1148	14	20	20	0	0	20	0	0
4297	snp	248	1	7	7	100	57.0	0	0	0
4298	snp	359	10	20	20	0	0	17	0	0
4299	snp	36	2	1	1	100	100.0	0	0	0
4300	snp	248	4	20	20	100	5.0	16	0	0
4301	snp	402	3	9	9	100	44.0	2	0	0
4302	snp	856	8	20	18	0	0	15	0	0
4303	snp	416	3	6	6	100	33.0	4	0	0
4304	snp	1031	1	20	20	100	60.0	5	0	0
4305	snp	1908	7	20	20	0	0	17	0	0
4306	snp	1602	2	20	20	100	5.0	19	100	5.0
4307	snp	1900	6	20	20	0	0	16	0	0
4308	snp	1402	1	20	20	100	45.0	10	100	10.0
4309	snp	366	2	8	8	100	100.0	0	0	0
4310	indel	1078	10	20	20	100	30.0	19	100	26.0
4311	indel	995	2	16	16	100	68.0	11	100	90.0
4312	snp	149	2	14	10	100	10.0	8	0	0
4313	snp	1227	14	20	20	0	0	17	0	0
4314	snp	1796	5	20	18	100	11.0	13	100	15.0
4315	snp	1916	7	20	20	100	5.0	7	100	14.0
4316	snp	1869	23	20	20	34	8.125	6	21	16.0
4317	snp	1564	5	20	18	100	5.0	12	100	8.0
4318	snp	1326	1	20	18	100	11.0	11	100	9.0
4319	snp	1232	13	20	20	0	0	4	0	0
4320	snp	1162	2	20	18	100	11.0	12	100	16.0
4321	snp	1200	11	20	20	0	0	6	0	0
4322	snp	1200	9	20	20	0	0	8	0	0
4323	snp	1209	3	20	18	100	11.0	5	100	40.0
4324	snp	1117	2	20	18	100	8.0	9	100	16.5
4325	snp	933	8	20	20	100	45.0	10	100	10.0
4326	snp	866	10	20	20	100	20.0	0	0	0
4327	snp	770	1	20	20	100	75.0	0	0	0
4328	snp	644	1	15	13	100	100.0	0	0	0
4329	snp	716	1	20	20	100	100.0	0	0	0
4330	snp	728	2	20	20	100	100.0	0	0	0
4331	snp	783	1	20	20	100	95.0	0	0	0
4332	snp	831	3	20	20	100	10.0	0	0	0
4333	snp	789	1	20	20	100	30.0	0	0	0
4334	snp	827	1	20	20	100	25.0	2	100	100.0
4335	snp	840	3	20	20	100	21.666666666666668	7	100	14.0
4336	snp	1303	17	20	20	0	0	10	0	0
4337	snp	1501	2	20	20	100	5.0	8	0	0
4338	snp	1581	8	20	20	100	10.0	18	100	11.0
4339	snp	1588	7	20	20	0	0	9	0	0
4340	snp	1453	6	20	20	100	10.0	12	100	16.0
4341	snp	1588	6	20	20	100	5.0	8	100	12.0
4342	snp	1604	14	20	20	0	0	10	0	0
4343	snp	1566	5	20	20	100	10.0	16	100	12.0
4344	snp	1587	2	20	20	100	20.0	9	100	44.0
4345	snp	1557	5	20	20	100	5.0	13	100	7.0
4346	snp	1597	8	20	20	100	5.0	13	100	7.0
4347	snp	1569	4	20	20	100	30.0	13	100	46.0
4348	snp	1589	5	20	20	100	5.0	8	100	12.0
4349	snp	1572	9	20	20	100	5.0	14	100	7.0
4350	snp	1587	6	20	20	100	10.0	13	100	15.0
4351	snp	1605	4	20	20	100	5.0	11	100	9.0
4352	snp	1587	3	20	20	100	30.0	14	100	35.0
4353	snp	1312	11	20	20	100	10.0	17	100	11.0
4354	snp	1211	8	20	20	100	45.0	13	100	53.0
4355	snp	728	5	20	20	100	30.0	2	100	100.0
4356	snp	622	9	20	20	100	80.0	0	0	0
4357	snp	801	2	20	20	100	90.0	0	0	0
4358	snp	560	1	20	20	100	100.0	0	0	0
4359	snp	463	1	20	20	100	100.0	0	0	0
4360	snp	708	2	16	16	100	100.0	0	0	0
4361	snp	334	1	18	12	0	0	9	0	0
4362	snp	70	1	20	16	0	0	14	0	0
4363	snp	320	3	7	5	100	100.0	0	0	0
4364	snp	555	5	20	20	100	20.0	16	100	12.0
4365	snp	470	12	20	20	0	0	17	0	0
4366	snp	290	2	6	6	100	100.0	1	100	100.0
4367	snp	1106	14	20	20	0	0	14	0	0
4368	snp	760	7	14	12	0	0	7	0	0
4369	snp	1247	3	20	20	100	60.0	7	0	0
4370	snp	1746	10	20	20	100	10.0	17	100	11.0
4371	snp	1659	6	20	20	0	0	18	0	0
4372	snp	1615	16	20	16	0	0	15	0	0
4373	snp	1213	1	20	18	100	61.0	9	100	44.0
4374	snp	135	3	3	3	100	100.0	0	0	0
4375	snp	751	1	20	20	100	85.0	0	0	0
4376	snp	937	7	20	20	100	5.0	6	0	0
4377	snp	1403	3	20	20	100	10.0	11	100	9.0
4378	snp	1933	7	20	20	100	5.0	11	100	9.0
4379	snp	1917	4	20	20	100	5.0	16	100	6.0
4380	snp	1873	5	20	20	100	15.0	18	100	16.0
4381	snp	1865	1	20	20	100	10.0	18	100	11.0
4382	snp	1126	1	16	16	100	43.0	11	100	27.0
4383	snp	1855	4	20	20	100	60.0	10	100	50.0
4384	snp	1884	10	20	20	100	100.0	10	100	100.0
4385	snp	1860	10	20	18	100	100.0	10	100	100.0
4386	snp	1788	2	20	20	100	90.0	16	100	87.0
4387	snp	1877	4	20	20	100	95.0	15	100	93.0
4388	snp	1932	8	20	20	100	95.0	16	100	93.0
4389	snp	1763	12	20	20	100	40.0	19	100	42.0
4390	snp	1821	5	20	20	100	10.0	13	100	15.0
4391	snp	1085	2	20	20	100	20.0	7	100	14.0
4392	snp	845	1	20	20	100	100.0	0	0	0
4393	snp	862	1	20	20	100	100.0	0	0	0
4394	snp	860	1	20	20	100	100.0	0	0	0
4395	snp	258	3	6	6	100	100.0	0	0	0
4396	snp	1040	2	20	20	100	15.0	16	100	6.0
4397	snp	1651	7	20	20	100	5.0	20	100	5.0
4398	snp	1210	3	20	20	100	20.0	15	100	20.0
4399	snp	322	2	10	8	100	100.0	0	0	0
4400	snp	367	1	16	12	0	0	10	0	0
4401	snp	310	14	15	15	0	0	10	0	0
4402	snp	172	2	17	17	100	11.0	13	100	7.0
4403	snp	1575	2	20	20	100	60.0	15	100	53.0
4404	snp	1924	10	20	20	0	0	17	0	0
4405	snp	538	1	9	9	100	22.0	4	0	0
4406	snp	969	3	20	20	100	15.0	13	0	0
4407	snp	1901	3	20	20	100	5.0	16	100	6.0
4408	snp	1903	6	20	20	100	15.0	16	100	18.0
4409	snp	1001	3	14	14	100	7.0	11	0	0
4410	snp	958	1	20	20	100	20.0	11	0	0
4411	snp	1916	3	20	20	0	0	14	0	0
4412	snp	1148	13	20	20	0	0	14	0	0
4413	snp	277	2	6	4	100	100.0	0	0	0
4414	snp	484	6	20	16	0	0	15	0	0
4415	snp	238	6	5	5	100	60.0	1	0	0
4416	snp	1117	1	20	20	100	40.0	7	0	0
4417	snp	1772	7	20	20	100	5.0	12	100	8.0
4418	snp	1900	15	20	20	100	5.0	14	100	7.0
4419	snp	1876	12	20	20	0	0	8	0	0
4420	snp	1853	3	20	20	100	5.0	13	100	7.0
4421	snp	528	12	9	7	0	0	6	0	0
4422	indel	750	5	17	13	100	30.0	12	100	33.0
4423	snp	1227	2	20	20	100	35.0	12	0	0
4424	snp	1164	7	20	20	0	0	16	0	0
4425	snp	1560	7	20	20	100	20.0	17	100	23.0
4426	snp	565	2	13	13	100	84.0	4	100	75.0
4427	snp	1138	1	20	20	100	30.0	4	0	0
4428	snp	1876	16	20	20	100	20.0	20	100	20.0
4429	snp	1892	7	20	20	100	5.0	17	100	5.0
4430	snp	1596	11	20	20	100	15.0	17	100	17.0
4431	snp	637	5	15	15	100	26.0	5	100	20.0
4432	snp	507	6	16	12	100	8.0	8	0	0
4433	snp	986	1	20	20	100	35.0	10	0	0
4434	snp	1884	5	20	20	0	0	16	0	0
4435	snp	1924	11	20	20	100	5.0	13	100	7.0
4436	snp	1892	13	20	20	100	5.0	15	100	6.0
4437	snp	1330	1	20	20	100	65.0	6	100	16.0
4438	snp	390	4	8	8	100	87.0	0	0	0
4439	snp	1019	2	20	20	100	35.0	10	0	0
4440	snp	938	10	20	18	0	0	14	0	0
4441	snp	221	9	4	4	100	100.0	3	100	100.0
4442	snp	371	1	20	18	100	44.0	14	100	42.0
4443	snp	1423	12	20	18	0	0	14	0	0
4444	snp	283	9	20	20	0	0	20	0	0
4445	snp	1909	10	20	20	100	5.0	18	100	5.0
4446	snp	690	1	11	11	100	36.0	6	0	0
4447	snp	1245	2	20	20	100	15.0	13	100	7.0
4448	snp	1601	9	20	20	100	75.0	17	100	82.0
4449	snp	1519	1	20	20	100	100.0	13	100	100.0
4450	snp	169	2	3	3	100	100.0	0	0	0
4451	indel	379	2	20	18	100	33.0	12	0	0
4452	indel	358	1	9	9	100	66.0	2	100	100.0
4453	snp	372	11	18	18	0	0	17	0	0
4454	indel	768	3	20	20	100	10.0	18	0	0
4455	indel	906	8	16	16	100	74.125	9	100	98.5
4456	snp	619	1	20	20	100	35.0	10	0	0
4457	snp	1123	10	17	17	0	0	13	0	0
4458	snp	1216	2	20	20	100	45.0	9	100	22.0
4459	snp	1350	5	20	18	0	0	17	0	0
4460	snp	784	20	11	11	0	0	10	0	0
4461	snp	1294	1	20	20	100	35.0	12	100	8.0
4462	snp	1872	5	20	20	100	15.0	19	100	15.0
4463	snp	1596	1	20	18	0	0	13	0	0
4464	snp	121	2	3	3	100	66.0	0	0	0
4465	snp	520	3	20	20	100	18.333333333333332	16	66	6.0
4466	snp	848	2	13	13	100	38.0	10	100	30.0
4467	indel	591	5	20	18	100	11.0	14	100	7.0
4468	indel	351	5	4	4	100	100.0	4	100	100.0
4469	snp	645	1	20	20	100	60.0	9	100	22.0
4470	snp	932	4	19	17	100	11.0	13	100	15.0
4471	indel	1096	1	20	20	100	90.0	9	100	77.0
4472	indel	1943	13	20	20	100	35.0	18	100	38.0
4473	indel	1834	5	20	20	100	45.0	20	100	45.0
4474	indel	1934	9	20	20	100	35.55555555555556	17	100	35.666666666666664
4475	indel	1896	7	20	20	100	80.0	19	100	78.0
4476	indel	582	1	14	14	100	100.0	0	0	0
4477	snp	791	2	20	20	100	10.0	17	0	0
4478	snp	768	8	14	14	100	21.0	9	100	33.0
4479	snp	1015	1	20	20	100	25.0	13	100	7.0
4480	snp	868	6	20	20	100	5.0	20	100	5.0
4481	snp	76	2	3	3	100	100.0	0	0	0
4482	snp	689	8	20	20	100	5.0	14	100	7.0
4483	snp	948	7	15	13	100	7.0	10	100	10.0
4484	snp	1324	2	20	20	100	10.0	10	100	10.0
4485	snp	730	9	20	20	100	5.0	17	100	5.0
4486	indel	1108	3	20	16	100	60.0	10	100	46.666666666666664
4487	indel	763	8	8	6	100	100.0	6	100	100.0
4488	snp	991	2	20	18	100	33.0	13	100	15.0
4489	snp	752	13	15	13	0	0	10	0	0
4490	snp	646	1	20	20	100	25.0	13	0	0
4491	snp	855	1	13	13	100	15.0	7	0	0
4492	indel	1085	2	20	20	100	100.0	0	0	0
4493	indel	1325	1	20	20	100	70.0	17	100	76.0
4494	indel	1733	6	20	20	100	100.0	14	100	100.0
4495	indel	300	3	6	6	100	100.0	0	0	0
4496	snp	74	7	18	14	0	0	11	0	0
4497	snp	866	1	20	20	100	45.0	6	100	16.0
4498	snp	1874	2	20	20	100	10.0	15	100	13.0
4499	snp	1031	10	20	20	100	10.0	18	100	11.0
4500	snp	941	2	14	14	100	50.0	8	100	12.0
4501	snp	1276	1	20	20	100	40.0	12	100	8.0
4502	snp	1049	11	20	18	100	11.0	18	100	11.0
4503	snp	1181	2	20	20	100	40.0	13	100	23.0
4504	snp	242	1	8	8	100	100.0	0	0	0
4505	snp	1133	1	20	20	100	40.0	7	0	0
4506	snp	946	10	20	20	0	0	16	0	0
4507	snp	920	3	14	14	100	21.0	10	0	0
4508	snp	78	1	20	18	100	11.0	14	0	0
4509	snp	257	2	6	4	100	100.0	0	0	0
4510	snp	582	9	16	14	100	7.0	10	100	10.0
4511	snp	177	1	20	18	100	5.0	14	0	0
4512	snp	645	2	20	18	100	22.0	9	0	0
4513	snp	615	15	12	12	0	0	9	0	0
4514	indel	471	2	18	10	100	20.0	9	100	22.0
4515	snp	974	1	20	18	100	22.0	14	100	7.0
4516	snp	928	8	20	20	100	5.0	7	100	14.0
4517	snp	130	12	20	20	100	5.0	13	0	0
4518	snp	1051	9	20	16	100	25.0	12	100	33.0
4519	indel	1825	4	20	20	100	87.5	15	100	84.75
4520	indel	1928	8	20	20	100	100.0	18	100	100.0
4521	indel	1748	3	20	20	100	90.0	17	100	100.0
4522	indel	679	1	16	16	100	100.0	0	0	0
4523	snp	733	2	20	20	100	40.0	10	0	0
4524	snp	1370	10	20	20	0	0	12	0	0
4525	snp	44	2	1	1	100	100.0	0	0	0
4526	snp	867	1	20	20	100	55.0	5	0	0
4527	snp	1073	1	20	20	100	5.0	16	0	0
4528	snp	1022	5	20	20	100	5.0	14	100	7.0
4529	snp	460	5	20	20	100	5.0	18	0	0
4530	snp	640	1	10	10	100	40.0	5	0	0
4531	indel	1509	3	20	20	100	35.0	12	100	35.666666666666664
4532	indel	1893	9	20	20	100	81.66666666666667	19	100	80.88888888888889
4533	indel	1410	6	20	18	100	51.666666666666664	15	100	51.0
4534	indel	17	7	1	1	100	100.0	0	0	0
4535	indel	238	9	13	9	100	11.0	6	0	0
4536	snp	405	9	20	16	0	0	13	0	0
4537	snp	341	3	9	9	100	55.0	0	0	0
4538	snp	919	9	18	12	100	25.0	11	100	18.0
4539	snp	817	1	20	20	100	15.0	18	100	5.0
4540	snp	1194	7	20	20	100	10.0	15	100	13.0
4541	indel	1536	9	20	20	100	80.0	19	100	78.0
4542	indel	591	1	8	8	100	87.0	5	100	100.0
4543	indel	372	11	20	20	100	15.0	18	100	11.0
4544	indel	415	8	11	5	100	80.0	5	100	80.0
4545	snp	638	1	20	16	100	43.0	16	100	43.0
4546	snp	164	2	4	4	100	100.0	0	0	0
4547	snp	479	5	20	20	100	25.0	14	0	0
4548	snp	1520	10	20	20	0	0	18	0	0
4549	snp	1180	1	20	20	100	45.0	9	0	0
4550	snp	99	2	2	2	100	100.0	0	0	0
4551	snp	922	2	20	20	100	35.0	17	100	23.0
4552	snp	1724	9	20	20	0	0	17	0	0
4553	snp	1371	1	20	20	100	25.0	14	100	14.0
4554	snp	221	3	4	4	100	100.0	0	0	0
4555	snp	1151	1	20	20	100	55.0	8	100	25.0
4556	snp	1415	17	20	20	0	0	17	0	0
4557	snp	1241	4	15	15	100	6.0	13	100	7.0
4558	snp	944	2	20	20	100	15.0	17	100	11.0
4559	snp	845	24	13	13	0	0	11	0	0
4560	snp	636	1	20	20	100	45.0	7	0	0
4561	snp	1714	4	20	20	0	0	18	0	0
4562	snp	751	6	11	11	100	9.0	9	0	0
4563	snp	1215	5	20	20	100	17.0	16	100	8.4
4564	snp	867	6	12	12	0	0	9	0	0
4565	snp	1754	13	20	20	100	75.0	14	100	64.0
4566	snp	878	4	13	13	100	23.0	9	100	22.0
4567	snp	644	8	20	16	100	6.0	15	100	6.0
4568	snp	81	3	2	2	100	50.0	0	0	0
4569	snp	582	13	20	16	100	25.0	10	100	40.0
4570	snp	436	2	20	20	100	17.5	16	50	6.0
4571	snp	1382	3	18	18	100	5.0	16	100	6.0
4572	indel	1620	3	20	20	100	95.0	15	100	93.0
4573	indel	1954	4	20	20	100	100.0	19	100	100.0
4574	indel	1481	9	20	20	100	74.44444444444444	16	100	74.22222222222223
4575	indel	1804	7	20	20	100	35.0	19	100	35.57142857142857
4576	indel	334	1	8	8	100	87.0	2	100	100.0
4577	snp	1165	1	20	20	100	25.0	12	0	0
4578	snp	1310	8	20	20	0	0	17	0	0
4579	snp	1077	2	16	14	100	14.0	10	0	0
4580	snp	953	1	20	20	100	15.0	13	100	7.0
4581	snp	480	9	11	11	0	0	10	0	0
4582	snp	653	5	20	18	100	5.0	15	0	0
4583	snp	594	2	20	16	100	31.0	15	100	26.0
4584	snp	49	3	1	1	100	100.0	0	0	0
4585	snp	148	1	20	16	100	12.0	14	0	0
4586	snp	40	3	1	1	100	100.0	0	0	0
4587	snp	457	3	20	18	100	11.0	15	0	0
4588	snp	273	331	4	4	0	0	3	0	0
4589	snp	325	7	20	16	100	31.0	13	100	15.0
4590	snp	139	1	3	3	100	33.0	2	0	0
4591	snp	1024	1	20	20	100	100.0	2	100	100.0
4592	snp	1345	4	20	20	100	15.0	13	100	7.0
4593	snp	1720	3	20	20	100	10.0	16	100	6.0
4594	snp	1916	18	20	20	100	5.0	15	100	6.0
4595	snp	1908	17	20	20	100	10.0	15	100	13.0
4596	snp	1795	6	20	20	100	15.0	14	100	21.0
4597	snp	1157	9	20	20	100	10.0	16	100	6.0
4598	snp	220	2	7	7	100	71.0	0	0	0
4599	snp	1002	2	20	20	100	15.0	12	0	0
4600	snp	1900	9	20	20	0	0	15	0	0
4601	snp	1908	7	20	20	100	5.0	18	100	5.0
4602	snp	1908	14	20	16	0	0	13	0	0
4603	snp	1534	8	20	20	100	5.0	15	100	6.0
4604	snp	499	5	9	9	100	22.0	6	0	0
4605	snp	1183	1	20	20	100	25.0	9	100	33.0
4606	snp	1826	10	20	20	0	0	15	0	0
4607	snp	1877	7	20	20	100	20.0	16	100	25.0
4608	snp	1342	17	20	20	100	5.0	20	100	5.0
4609	snp	1311	1	20	20	100	20.0	11	100	9.0
4610	snp	124	6	4	4	100	100.0	0	0	0
4611	snp	1204	4	20	20	100	45.0	11	100	18.0
4612	snp	1823	1	20	20	100	25.0	15	100	33.0
4613	snp	1872	4	20	20	100	10.0	18	100	11.0
4614	snp	1365	5	20	20	100	15.0	17	100	17.0
4615	snp	413	2	12	12	100	70.5	0	0	0
4616	snp	738	2	20	16	100	18.0	10	100	10.0
4617	snp	485	10	8	8	0	0	6	0	0
4618	indel	249	1	20	18	100	16.0	13	100	15.0
4619	indel	681	7	10	10	100	10.0	7	0	0
4620	snp	815	9	20	14	0	0	13	0	0
4621	snp	772	1	10	10	100	40.0	8	100	25.0
4622	snp	613	2	20	20	100	20.0	13	100	7.0
4623	snp	908	9	20	20	100	10.0	18	100	11.0
4624	snp	172	3	3	3	100	100.0	0	0	0
4625	snp	961	7	20	20	100	30.0	14	100	21.0
4626	snp	1240	4	20	20	100	70.0	17	100	76.0
4627	snp	200	3	4	4	100	100.0	0	0	0
4628	snp	1314	1	20	20	100	5.0	14	0	0
4629	snp	1302	9	20	20	0	0	16	0	0
4630	snp	1370	1	20	20	100	30.0	14	100	7.0
4631	snp	72	2	2	2	100	100.0	0	0	0
4632	snp	731	1	20	20	100	20.0	10	0	0
4633	snp	575	6	6	6	100	100.0	4	100	100.0
4634	snp	566	3	20	20	100	5.0	18	0	0
4635	snp	1167	3	20	20	100	10.0	15	100	13.0
4636	snp	634	2	18	10	100	100.0	1	100	100.0
4637	snp	1099	6	20	20	100	15.0	16	100	6.0
4638	snp	1924	9	20	20	100	5.0	18	100	5.0
4639	snp	717	1	17	17	100	17.0	3	100	33.0
4640	snp	1435	2	20	20	100	17.5	13	100	15.0
4641	snp	1819	12	20	20	0	0	18	0	0
4642	snp	1782	15	20	20	100	6.333333333333333	18	100	6.6
4643	snp	917	1	20	20	100	60.0	3	0	0
4644	snp	188	1	4	4	100	100.0	0	0	0
4645	snp	1120	1	20	20	100	35.0	12	100	8.0
4646	snp	1400	10	20	20	0	0	17	0	0
4647	snp	629	2	11	11	100	36.0	4	100	25.0
4648	snp	544	12	20	14	0	0	12	0	0
4649	snp	234	15	3	3	0	0	3	0	0
4650	snp	604	1	20	18	100	11.0	18	100	11.0
4651	snp	221	7	4	4	100	25.0	2	0	0
4652	snp	1188	7	20	16	0	0	11	0	0
4653	snp	354	1	5	5	100	40.0	3	0	0
4654	snp	582	11	11	9	100	66.0	7	100	57.0
4655	snp	643	1	20	20	100	15.0	16	0	0
4656	snp	566	13	8	8	0	0	6	0	0
4657	indel	654	3	16	14	100	28.0	13	100	25.0
4658	snp	57	5	20	20	100	5.0	5	0	0
4659	snp	624	5	20	20	100	35.0	7	100	100.0
4660	snp	1064	8	20	20	100	60.0	16	100	62.0
4661	snp	796	1	9	9	100	88.0	8	100	87.0
4662	snp	874	2	20	20	100	55.0	17	100	64.0
4663	snp	1326	5	16	16	100	75.0	14	100	78.0
4664	snp	644	2	20	20	100	20.0	15	100	6.0
4665	snp	544	2	8	8	100	25.0	6	100	16.0
4666	snp	847	1	20	20	100	5.0	11	0	0
4667	snp	938	16	20	20	0	0	11	0	0
4668	snp	99	3	3	3	100	100.0	0	0	0
4669	snp	859	2	20	18	0	0	17	0	0
4670	snp	367	1	5	5	100	20.0	4	0	0
4671	snp	492	1	20	18	100	16.0	11	100	9.0
4672	snp	768	4	14	12	100	8.0	9	100	11.0
4673	indel	1160	1	20	20	100	100.0	0	0	0
4674	indel	1216	1	20	20	100	90.0	6	100	66.0
4675	indel	1907	13	20	20	100	80.0	13	100	69.0
